"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","경지면적_총합","자본","연초보유 현금","연말보유 현금","가중치"
1036,5,32,3,2,1,1,11521670,10321670,4216070,506670,3709400,6105600,1200000,21841310,16883310,4958000,6563670,-10319640,1500000,993330,3442100,6040000,2597900,267300,267300,0,0,0,5185,299129700,1000000,1416200,24.1818181818182
1037,3,32,3,3,1,1,6438565,6438565,6438565,7560610,-1122045,0,0,14779344,12462234,2317110,4121455,-8340779,15186560,7625950,-1122045,4601950,5723995,0,0,0,0,6000000,3270,96026500,1500000,1907500,151.8
1038,4,32,3,6,2,1,74762555,73072555,66212555,50260700,15951855,6860000,1690000,27391158,25913838,1477320,73285235,47371397,55942000,5681300,13071855,13776440,704585,2880000,2880000,0,0,23500000,9300,174193700,1300000,1593500,26.375
1039,4,32,2,6,2,2,-3847432,-3847432,-3847432,352620,-4200052,0,0,22848117,19591087,3257030,-7104462,-26695549,20920000,20567380,-4200052,2000000,6200052,0,0,0,27000000,11667300,7000,733912900,1200000,1936600,26.375
1040,3,32,3,6,1,1,51262296,49852296,48772296,22712190,26060106,1080000,1410000,21877867,18197677,3680190,47582106,29384429,23988000,1275810,13334810,16549000,3214190,12725296,27725296,15000000,6718238,15075320,1500,677197438,830000,1505600,130
1042,5,32,3,2,1,1,14194237,12064237,3957787,1120862,2836925,8106450,2130000,21899220,15649860,6249360,7944877,-7704983,1455000,334138,-2731975,2855000,5586975,5568900,5568900,0,4450000,3370000,2110.8,11294260,2705560,1328900,24.1818181818182
1043,4,32,3,2,1,1,55975094,41120094,28705944,6016507,22689437,12414150,14855000,42979465,27965865,15013600,40961494,12995629,7895500,1878993,8998257,14139020,5140763,13691180,13691180,0,2210000,15030000,276.3,278259600,2000000,1355700,24.1818181818182
1044,3,32,3,2,1,2,10957000,10957000,7177000,7423340,-246340,3780000,0,12802391,12191391,611000,10346000,-1845391,7500000,76660,-246340,0,246340,0,0,0,1000000,200000,15000,255279200,780000,1419300,24.1818181818182
1045,4,32,3,2,1,2,39698902,37398902,31176152,6683270,24492882,6222750,2300000,30975011,18752536,12222475,27476427,8723891,10850000,4166730,2853282,5089448,2236166,21639600,21739600,100000,22400000,5740890,5000,184768000,2000000,1141200,24.1818181818182
1046,4,32,3,8,1,1,56498602,47528602,42158017,4230410,37927607,5370585,8970000,31134525,22800525,8334000,48164602,25364077,5799800,1569390,3494173,5732080,2237907,34433434,35053434,620000,60000,10650000,270,94778124,1541512,1454000,180.869565217391
1047,4,32,2,8,2,1,51537523,51337523,47747325,45355960,2391365,3590198,200000,27573970,25797410,1776560,49760963,23963553,56897700,11541740,-1784635,409025,2193660,4176000,4316400,140400,0,9860000,4457,628530916,2684268,1354100,180.869565217391
1048,5,32,3,2,1,1,20646790,17146790,9150640,3291290,5859350,7996150,3500000,15650860,14662350,988510,19658280,4995930,3716290,425000,3552550,6037400,2484850,2306800,2306800,0,0,5480000,122.4,412834400,1200000,1296700,24.1818181818182
1049,4,32,3,5,1,2,33325639,30708388,19851578,10118305,9733273,10856810,2617251,32293093,28508993,3784100,29541539,1032546,11005485,887180,7870436,10839318,2968882,1862837,1862837,0,300000,12390000,14920.5,619168642,1228649,1211300,107.166666666667
1050,3,32,3,2,1,1,46521835,44721835,44421835,11644740,32777095,300000,1800000,52491214,40207511,12283703,34238132,-5969379,11919200,274460,32652495,68855955,36203460,124600,124600,0,99720390,38062317,649,41756428,1350000,1245600,120.733333333333
1051,5,32,3,2,1,1,17723450,12723450,5671450,3486700,2184750,7052000,5000000,21221420,19979420,1242000,16481450,-3497970,3822000,335300,2184750,3535850,1351100,0,0,0,350000,28680000,0,182795100,1200000,1246100,120.733333333333
1052,4,32,3,2,1,1,29808375,27078375,23459875,10267050,13192825,3618500,2730000,23751600,22291600,1460000,28348375,6056775,13059000,2791950,11069425,15899025,4829600,2123400,2123400,0,1690000,19610000,530,502513660,1980000,1395500,120.733333333333
1053,4,32,3,2,2,1,14172890,14172890,14172890,481410,13691480,0,0,18819880,17136760,1683120,12489770,-4646990,1182200,700790,13641480,21747810,8106330,50000,50000,0,24000000,3435000,562.4,97457000,1500000,2273800,24.1818181818182
1054,4,32,3,2,3,1,50641205,49656528,29445369,2499380,26945989,20211159,984677,51353930,36193929,15160001,35481204,-712725,3166000,666620,25955989,40566657,14610668,990000,990000,0,1944650,102625000,55.9,484628772,1620000,1191900,24.1818181818182
1055,3,32,2,1,3,5,136241398,133099931,89397926,63200426,26197500,43702005,3141467,53508492,45116242,8392250,127849148,82732906,308572350,245371924,18697500,18822500,125000,7500000,7500000,0,128897770,264165386,0,3561311757,1700000,2117400,61.4444444444444
1056,3,32,3,8,2,1,41594292,34994292,33177784,9735800,23441984,1816508,6600000,30870549,21781570,9088979,32505313,10723743,15950800,6215000,5552752,11292309,5739557,17889232,17889232,0,20932264,17075643,877,117270280,1300000,2057300,180.869565217391
1057,3,32,3,8,1,1,61590194,58640194,30913147,35264623,-4351476,27727047,2950000,54930386,39093336,15837050,45753144,6659808,49360313,14095690,-6441476,4489000,10930476,2090000,2090000,0,10823220,16063000,3112,312619420,1500000,1578100,180.869565217391
1058,4,32,3,5,2,1,79102900,79102900,71902900,14192400,57710500,7200000,0,100439040,80427540,20011500,59091400,-21336140,15084000,891600,33950500,36021000,2070500,23760000,23760000,0,7500000,14000000,700,1319110000,2450000,1733500,186
1059,3,32,3,2,1,1,35181660,35181660,28341660,7348600,20993060,6840000,0,33982893,31715202,2267691,32913969,1198767,7549600,201000,40700,1242700,1202000,20952360,20952360,0,1600000,1200000,926,281352704,1530000,1457400,24.1818181818182
1061,4,32,3,2,1,1,23912672,23896672,16216672,360000,15856672,7680000,16000,33745591,31715041,2030550,21882122,-9832919,545000,185000,-1775828,1395250,3171078,17632500,17671500,39000,0,4500000,0,329963300,1700000,1652500,24.1818181818182
1062,4,32,3,2,1,1,30729944,28479944,21855294,1038160,20817134,6624650,2250000,22529512,20503314,2026198,28703746,8200432,1604000,565840,176258,3488120,3311862,20640876,20640876,0,2500000,5000000,0,139288600,1200000,1688500,24.1818181818182
1063,4,32,3,2,2,1,23916283,23916283,8398438,2953790,5444648,15517845,0,25582688,24047488,1535200,22381083,-1666405,3570000,616210,5444648,11303670,5859022,0,0,0,18760000,9500000,39.3,779596040,1300000,1581300,24.1818181818182
1064,3,32,3,2,2,1,16216052,5666052,5666052,-2069750,7735802,0,10550000,40548520,36697020,3851500,12364552,-24332468,6064400,8134150,5137240,8309665,3172425,2598562,2598562,0,4605770,14703930,2825.1,568209080,1540000,1871200,120.733333333333
1065,4,32,3,2,1,1,19134104,18584104,4525804,3579780,946024,14058300,550000,29693052,28175672,1517380,17616724,-10558948,4607410,1027630,698524,10031055,9332531,247500,247500,0,4500000,21180000,0,199881760,1570000,1642100,120.733333333333
1066,4,32,3,8,1,1,14259472,13759472,7476972,11546885,-4069913,6282500,500000,25489980,22714710,2775270,11484202,-11230508,18569000,7022115,-4069913,22550435,26620348,0,0,0,0,5660000,934,425144630,1750000,1553800,180.869565217391
1067,5,32,3,8,1,1,19144438,16515688,13311709,-266490,13578199,3203979,2628750,17831636,17150756,680880,18463558,1312802,2632900,2899390,12474659,23476583,11001924,1103540,1103540,0,0,5580000,2066.8,1207570744,1700000,1469900,180.869565217391
1068,4,32,3,8,1,1,11518835,11518835,6624835,3673510,2951325,4894000,0,20610500,17969500,2641000,8877835,-9091665,6437250,2763740,2951325,3311925,360600,0,0,0,0,8160000,2669,263008700,1560000,1459100,180.869565217391
1069,4,32,3,2,1,4,65950325,62400732,57801732,-502925,58304657,4599000,3549593,50050933,36982990,13067943,52882382,15899392,1622000,2124925,57541303,120402559,62861256,763354,763354,0,0,23205000,38065,629676134,2500000,1521700,24.1818181818182
1070,5,32,3,2,1,1,25822690,13079140,2469740,479000,1990740,10609400,12743550,25374160,22915860,2458300,23364390,448530,679000,200000,-909460,2195200,3104660,2900200,2900200,0,0,9700000,404,167825300,1200000,1348400,24.1818181818182
1071,4,32,3,2,1,1,55854855,54384855,43612815,8170100,35442715,10772040,1470000,37483130,27709380,9773750,46081105,18371725,8916400,746300,30642715,43268865,12626150,4800000,4800000,0,6300000,50520000,10.3,422078640,2300000,1244700,24.1818181818182
1072,4,32,3,2,1,1,116611821,108186669,91663375,8750200,82913175,16523294,8425152,49887294,43429584,6457710,110154111,66724527,13530000,4779800,61747543,93803170,32055627,21165632,21165632,0,20590000,38066000,40494,685033242,1750000,1598100,24.1818181818182
1073,3,32,2,8,1,1,-3264612,-3264612,-5565740,-10072340,4506600,2301128,0,16633640,15097090,1536550,-4801162,-19898252,13791500,23863840,3287100,3692500,405400,1219500,1219500,0,1000000,1220000,10701,-37507500,438000,1456100,180.869565217391
1074,4,32,3,8,1,4,9764680,9764680,9764680,-3905320,13670000,0,0,20691500,17691500,3000000,6764680,-10926820,100000,4005320,13670000,28350000,14680000,0,0,0,0,4000000,15000,285011600,5000000,1243600,180.869565217391
1078,5,32,3,8,1,1,16536000,16136000,12586000,2566000,10020000,3550000,400000,14075858,14075858,0,16536000,2460142,8407300,5841300,10020000,11550000,1530000,0,0,0,0,2500000,2900,30528700,862000,1439700,180.869565217391
1079,5,32,2,8,1,1,8849900,8849900,-2740100,-1383500,-1356600,11590000,0,15206080,13611080,1595000,7254900,-6356180,1900000,3283500,-1356600,0,1356600,0,0,0,6000000,180000,2800,642211880,1100480,1615900,180.869565217391
1080,5,32,3,8,1,1,28357964,27492019,19596373,2496850,17099523,7895646,865945,15942674,14338754,1603920,26754044,12415290,2820000,323150,2654723,7375800,4721077,14444800,14484800,40000,4000000,4350000,8972,1090915987,465087,1514800,180.869565217391
