"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","가중치"
4059,4,34,3,3,2,2,26582965,23632965,18077505,4304702,13772803,5555460,2950000,35053209,30648479,4404730,22178235,-8470244,13907510,9602808,13772803,23463650,9690847,0,0,0,22019047,8990000,65.9565217391304
4060,4,34,2,3,1,1,31844145,31844145,31844145,30942090,902055,0,0,46593704,41363857,5229847,26614298,-14749559,49627300,18685210,902055,4093700,3191645,0,0,0,32790146,2004000,65.9565217391304
4061,5,34,3,1,1,1,15485612,15485612,5625612,250932,5374680,9860000,0,29690170,26362970,3327200,12158412,-14204558,13587000,13336068,5374680,13906000,8531320,0,0,0,20088310,3890000,35.8
4063,3,34,3,1,1,2,29967192,29585702,28985702,-9213720,38199422,600000,381490,37558703,32087243,5471460,24495732,-7591511,5425500,14639220,-3497869,3300231,6798100,41697291,41697291,0,7844650,1016000,35.8
4064,3,34,1,1,2,4,465902711,465902711,465902711,465902711,0,0,0,188687426,149955377,38732049,427170662,277215285,887107700,421204989,0,0,0,0,0,0,95224808,361929633,18.1666666666667
4065,4,34,2,3,1,1,29477558,23477558,8387618,5526475,2861143,15089940,6000000,30008607,27906947,2101660,27375898,-531049,10217550,4691075,361143,3254500,2893357,2500000,2500000,0,2656242,39628500,65.9565217391304
4066,5,34,3,1,1,2,15262000,15262000,7911280,2719410,5191870,7350720,0,23196915,22166915,1030000,14232000,-7934915,13150000,10430590,5191870,6478000,1286130,0,0,0,16060677,0,35.8
4067,4,34,2,1,2,1,37290600,37290600,37290600,33920243,3370357,0,0,58828661,50253077,8575584,28715016,-21538061,47520000,13599757,3370357,3650000,279643,0,0,0,30539646,0,15.92
4068,4,34,2,6,2,5,39304525,39304525,25723545,13710045,12013500,13580980,0,47150642,37727062,9423580,29880945,-7846117,32484730,18774685,11908500,11940000,31500,105000,105000,0,28914150,4959946,33.5
4069,4,34,2,3,1,1,55750152,52940152,52940152,32958442,19981710,0,2810000,23007390,18877250,4130140,51620012,32742762,52760000,19801558,19981710,30614000,10632290,0,0,0,51665420,25900000,65.9565217391304
