"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임업외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","기초_자본(순재산)","기말_자본(순재산)","연초보유","연말보유","가중치"
1052,4,32,3,2,1,1,57287865,37085865,30252865,23762060,6490805,6833000,20202000,24894430,22424430,2470000,54817865,32393435,26564000,2801940,5690805,13065405,7374600,800000,800000,0,23800000,27195000,548160420,564276560,1949660,2300000,187
1053,5,32,3,2,2,1,36001260,36001260,36001260,4920850,31080410,0,0,27557920,23799000,3758920,32242340,8443340,5860000,939150,31080410,46472410,15392000,0,0,0,0,545000,417433200,404342400,1717700,2300000,22.32
1054,4,32,3,2,2,1,52135583.8,49480870,27369258,841000,26528258,22111612,2654713.8,48565473,33545687,15019786,37115797.8,3570110.8,1591000,750000,26228258,38668964,12440706,300000,300000,0,0,1000000,733176165,706313014,2025851,2700000,22.32
1055,3,32,2,1,3,5,153653172,140523172,24906682,2320522,22586160,115616490,13130000,48741763,41694983,7046780,146606392,104911409,238000000,235679478,22586160,22586160,0,0,0,0,65298550,186949374,2380320382,2475817303,1592079,2570000,58.5294117647059
1056,3,32,3,8,2,1,72951026,64132138,62552908,19663300,42889608,1579230,8818888,32880292,23413785,9466507,63484519,40070734,24976500,5313200,9976352,20344630,10368278,32913256,32913256,0,27690681,28589812,134886121,136446180,1568941,2867500,188.615384615385
1057,4,32,3,8,3,1,92721976.2,67204171,37082421,39632064,-2549643,30121750,25517805.2,65122245,49781174,15341071,77380905.2,27599731.2,55372726,15740662,-4655941,10284251,14940192,2106298,2106298,0,0,6839500,394337205,377271300,1741805,1350000,188.615384615385
1058,5,32,3,5,2,1,62221180,62221180,54221180,0,54221180,8000000,0,122889088,98002280,24886808,37334372,-60667908,0,0,34090400,36741200,2650800,20130780,24000000,3869220,0,6050000,1748798250,1587126600,1553450,1920000,174.5
1059,4,32,3,2,1,1,50150570,50150570,42938370,8323000,34615370,7212200,0,32380510,30226510,2154000,47996570,17770060,8957000,634000,-794630,542410,1337040,35410000,35410000,0,0,300000,306945204,414332704,1562600,1750000,22.32
1061,4,32,3,2,1,1,16504541,16504541,10104541,1148500,8956041,6400000,0,38478650,36029460,2449190,14055351,-21974109,1500000,351500,3457041,8979483,5522442,5499000,5700000,201000,0,651100,353146992,332625000,1522992,1780000,22.32
1062,4,32,3,2,1,1,31650120,30063730,21386090,1072000,20314090,8677640,1586390,33516243,31764956,1751287,29898833,-1866123,1165000,93000,556290,2473190,1916900,19757800,19757800,0,0,5500000,181627290,181164900,1491390,1575000,22.32
1063,5,32,3,2,2,1,10826064,10826064,1218584,1065680,152904,9607480,0,24840625,23011915,1828710,8997354,-14014561,1599000,533320,152904,10999000,10846096,0,0,0,6450000,0,914652984,873482020,1979764,2370000,22.32
1064,3,32,3,2,2,1,43044229,26924229,26924229,25553780,1370449,0,16120000,37649150,31859880,5789270,37254959,5395079,34707000,9153220,1370449,4697219,3326770,0,0,0,10176080,18283640,486547910,508499720,1711050,2535000,187
1065,4,32,3,2,1,1,10517079,7527079,-738001,1516670,-2254671,8265080,2990000,26018397,24768287,1250110,9266969,-15501318,2745210,1228540,-2254671,4815349,7070020,0,0,0,0,1406000,230013277,196953632,1555945,1790000,187
1067,5,32,3,8,1,1,22064664,18031284,15262134,-2821450,18083584,2769150,4033380,24650254,23319624,1330630,20734034,-2585590,2849150,5670600,16893584,24451580,7557996,1190000,1190000,0,0,0,1379936506,1355131724,1471582,1730000,188.615384615385
1068,4,32,3,8,1,1,10790788,10010788,4729148,3260180,1468968,5281640,780000,13495610,12450610,1045000,9745788,-2704822,6702500,3442320,1468968,2654705,1185737,0,0,0,0,156000,395385700,387276300,1625500,1320000,188.615384615385
1070,5,32,3,2,1,1,20137083,18967083,7126443,875600,6250843,11840640,1170000,23756600,22758910,997690,19139393,-3619517,975600,100000,150843,1137623,986780,6100000,6100000,0,0,4620000,189726801,172972000,1524501,1730000,22.32
1071,4,32,3,2,1,1,13202360,11512360,8765390,2009025,6756365,2746970,1690000,50332530,37142470,13190060,12300,-37130170,2150650,141625,6156365,8684365,2528000,600000,600000,0,5825000,7300000,458834340,404771140,1705500,3200000,22.32
1072,4,32,3,2,1,1,141468809.2,111499409,98415536,6670600,91744936,13083873,29969400.2,52709259,48697709,4011550,137457259.2,88759550.2,8323000,1652400,80348229,133037453,52689224,11396707,11396707,0,20500000,20170000,842556183,809429010,2100973,3570000,22.32
