"fno_임가_번호","age_연령별","ara1_지역별","de2_전/겸업별","jong_업종별","de2_1_가구원수별","ffsize_임지규모별","FOI_임가소득","OI_경상소득","FONP_임가순소득","FMI_임업소득","EFMI_임업외소득","TI_이전소득","NOI_비경상소득","HE_가계지출","CE_소비지출","NLE_비소비지출","FODI_임가처분가능소득","FOES_임가경제잉여","FMGR_임업총수입","FMOC_임업경영비","SJI_겸업소득","SJR_겸업수입","SJE_겸업지출","NBI_사업외소득","NBR_사업외수입","NBE_사업외지출","PR_재산적수입","PE_재산적지출","capt_b_기초_자본(순재산)","capt_e_기말_자본(순재산)","a00011_연초보유","a00012_연말보유","wt21_가중치"
1038,4,32,2,6,2,1,76806858,75127258,67687258,54803400,12883858,7440000,1679600,40135420,35605920,4529500,72277358,36671438,58568710,3765310,11245858,11648418,402560,1638000,1638000,0,1550000,16850000,161718000,141880416,1593500,1494216,30.1428571428571
1039,4,32,2,6,2,2,-27171980,-27171980,-27411980,-23953060,-3458920,240000,0,23754216,21303626,2450590,-29622570,-50926196,15894250,39847310,-3458920,0,3458920,0,0,0,26000000,6322000,828753000,749622658,1936600,1813058,30.1428571428571
1040,3,32,3,6,1,1,39093881,37103321,35903321,25755000,10148321,1200000,1990560,23602958,20292673,3310285,35783596,15490923,26865000,1110000,10145254,11706000,1560746,3067,3067,0,560974,7368948,682519000,641663033,1505600,1310733,130
1042,5,32,3,2,1,1,13415440,10048440,-691560,1443630,-2135190,10740000,3367000,17960600,13638170,4322430,9093010,-4545160,1980000,536370,-2755190,510000,3265190,620000,620000,0,4900000,1630000,19687800,19290630,1328900,1611630,24.1818181818182
1043,4,32,3,2,1,1,57731446,48241446,37449446,5378879,32070567,10792000,9490000,51175048,34862448,16312600,41418846,6556398,7176500,1797621,16837567,19606120,2768553,15233000,15233000,0,3400000,17145000,378013300,377550200,1355700,1439000,24.1818181818182
1044,3,32,3,2,1,2,4823599,4823599,1223599,423340,800259,3600000,0,12802383,12262383,540000,4283599,-7978784,500000,76660,-999741,0,999741,1800000,1800000,0,1000000,0,267477000,262711378,1419300,1777978,24.1818181818182
1045,4,32,3,2,1,2,45297607,37497607,33888397,14790197,19098200,3609210,7800000,30706601,21657676,9048925,36248682,14591006,15155197,365000,1914200,2753800,839600,17184000,17184000,0,12078500,1925000,188699800,164906563,1141200,1439463,24.1818181818182
1046,4,32,3,8,1,1,44850322,41961722,35936572,5410370,30526202,6025150,2888600,26759058,26004588,754470,44095852,18091264,5885250,474880,995202,4321190,3325988,29531000,30576000,1045000,5000000,34880000,93773508,110834420,1454000,1568012,180.869565217391
1047,4,32,2,8,2,1,47855146,47855146,44555716,34342940,10212776,3299430,0,24935543,24870203,65340,47789806,22919603,43245600,8902660,1477776,3246376,1768600,8735000,8800000,65000,0,12000000,680464128,670970806,1354100,1796378,180.869565217391
1048,5,32,3,2,1,1,23750140,18004140,10108240,1824200,8284040,7895900,5746000,15688204,15142704,545500,23204640,8061936,2300500,476300,3435040,4836390,1401350,4849000,4849000,0,310000,8200000,370294800,364371344,1296700,1624844,24.1818181818182
1049,4,32,3,5,1,2,39368573,34093173,23183619,6794795,16388824,10909554,5275400,28775186,27893936,881250,38487323,10593387,8409225,1614430,14132901,17234187,3101286,2255923,2255923,0,1500000,14340000,704438265,694246212,1211300,1770447,107.166666666667
1050,4,32,3,2,1,1,80651417,80261417,80261417,25543780,54717637,0,390000,42198895,34012493,8186402,72465015,38452522,26355000,811220,54633637,71471850,16838213,84000,84000,0,64514637,31613381,581133153,521965423,1245600,1622427,124.896551724138
