"▣ 연령별","▣ 지역별","▣ 규모별","조성비","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","골목본수_계","▣ 전/겸업별","농약비_만본당","수도광열비_만본당","제재료비_만본당","소농구비_만본당","수선비_만본당","임차료_만본당","위탁영농비_만본당","기타비용_만본당","기계_감가상각비_만본당","시설물_감가상각비_만본당","감가상각비_만본당","자동차비_만본당","자가토지용역비_만본당","임차토지용역비_만본당","토지용역비_만본당","자가노동비_만본당","고용노동비_만본당","급식물비_만본당","노동비_만본당","경영비","고정자본용역비_만본당","유동자본용역비_만본당","자본용역비_만본당","생표고_소계 수량_만본당","건표고_소계(생표고 기준) 수량_만본당","총 생산량(생표고 기준)_만본당","생표고_소계(생표고 기준) 평가액_만본당","건표고_소계(생표고 기준) 평가액_만본당","총 평가액(생표고 기준)_만본당","부산물 생산량_만본당","총 노동시간_보통자가_만본당","총 노동시간_보통자가_남_만본당","총 노동시간_보통자가_여_만본당","총 노동시간_보통고용_만본당","총 노동시간_보통고용_남_만본당","총 노동시간_보통고용_여_만본당","총 노동시간_특수자가_만본당","총 노동시간_특수고용_만본당","총 노동시간_합계_만본당","간벌_시간_만본당","건조_시간_만본당","경운_시간_만본당","관수(살수)_시간_만본당","두둑_시간_만본당","멀칭_시간_만본당","배수로 정비 및 관리_시간_만본당","병해충방제_시간_만본당","보식작업_시간_만본당","선별_시간_만본당","수확 및 운반_시간_만본당","시비_시간_만본당","시설물 보수_시간_만본당","식재(조림)_시간_만본당","열매솎기(적과)_시간_만본당","인공교배 또는 수정_시간_만본당","재배지 정리_시간_만본당","전정_시간_만본당","접목 및 관리_시간_만본당","정지_시간_만본당","제초_시간_만본당","종묘 이식_시간_만본당","차광막 설치_시간_만본당","채종_시간_만본당","꽃눈솎기(적뢰)_시간_만본당","출하_시간_만본당","지주세우기_시간_만본당","일반관리_시간_만본당","파종_시간_만본당","골목 눕히기_시간_만본당","골목 뒤집기_시간_만본당","골목 벌채_시간_만본당","골목 세우기_시간_만본당","골목 폐기_시간_만본당","버섯발생작업_시간_만본당","재배장 소독_시간_만본당","종균접종_시간_만본당","천공작업_시간_만본당","표고세척_시간_만본당","기타_시간_만본당","내급비","소득","직접생산비","간접생산비","생산비 합계_만본당","순수익","가중치"
2,36,3,17169283,1.21,0,0,1.21,0,1.21,0,0,1.21,0,0,0,0,0,0,20000,1,0,85550,0,0,0,0,0,872100,122758.333333333,70535.1315789474,193293.464912281,1734895.83333333,213000,0,213000,1051623.5,107500,37500,1196623.5,20166100.1416333,306411.071807017,26712.9914,333124.063207017,99.5,1210.23,1309.73,904050,12445734,13349784,0,20,4.5,15.5,0,0,0,35,5,60,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631769.71981932,-6816316.14163331,21251745.7982456,546124.063207017,21797869.8614526,-8448085.86145263,4.94736842105263
2,36,3,17169283,1.76,0,0,1.76,0,1.76,0,0,1.76,0,0,0,0,0,0,27000,1,0,310740.740740741,0,0,0,244444.444444444,0,593777.777777778,182382.716049383,39209.4541910331,221592.170240416,0,391185.185185185,0,391185.185185185,3154080,1222222.22222222,112222.222222222,4488524.44444444,19793401.9965789,50132.5207797271,69904.8438518519,120037.364631579,0,6148.33333333333,6148.33333333333,0,70366551.1111111,70366551.1111111,0,199.259259259259,106.296296296296,92.962962962963,17.7777777777778,17.7777777777778,0,0,35.5555555555556,252.592592592593,0,1.85185185185185,0,0,0,0,0,0,0,4.44444444444444,178.888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9259259259259,0,0,0,0,0,0,1.48148148148148,3746183.13088571,50573149.1145322,23028362.5776478,511222.549816764,23539585.1274646,46826965.9836465,4.94736842105263
2,36,3,17169283,1.98,0,0,1.98,0,1.98,0,0,1.98,0,0,0,0,0,0,30500,2,0,111639.344262295,0,0,0,0,0,35213.1147540984,512751.912568306,48691.8032786885,561443.715846995,1338393.44262295,207737.704918033,0,207737.704918033,713764.590163934,373770.491803279,141967.213114754,1229502.29508197,19638535.2410982,210944.89704918,17066.7989508197,228011.696,11.4754098360656,3017.52786885246,3029.00327868852,134295.081967213,33716718.6885246,33851013.7704918,2295.08196721311,49.8360655737705,10.4918032786885,39.344262295082,18.3606557377049,18.3606557377049,0,0,0,68.1967213114754,0,0.983606557377049,0,0,0,0,0,0,0,5.24590163934426,34.0983606557377,0,0,0,0,0,0,0,0,0,7.86885245901639,0,0,0,0,0,0,0,0,0,0,0,19.672131147541,0,0,0,0,0,0,0.327868852459016,1242689.0723881,14212478.5293936,20445474.9125683,435749.400918033,20881224.3134863,12969789.4570055,4.94736842105263
2,36,3,17169283,2.31,0,0,2.31,0,2.31,0,0,2.31,0,0,0,0,0,0,26000,2,0,194576.923076923,0,0,0,0,0,436153.846153846,190442.307692308,80652.6315789474,271094.939271255,429397.435897436,270769.230769231,0,270769.230769231,3712716.92307692,1886923.07692308,294615.384615385,5894255.38461538,20486706.4191509,108082.665700405,82340.5975384615,190423.263238866,48.4615384615385,1793.23846153846,1841.7,871538.461538462,17385900,18257438.4615385,0,208.461538461538,124.615384615385,83.8461538461538,80,80,0,15,11.1538461538462,314.615384615385,0,1.15384615384615,0,0,0,0,0,0,0,10.7692307692308,114.230769230769,0,0,0,0,0,0,0,0,0,11.1538461538462,0,0,0,0,0,0,0,0,0,0,0,176.538461538462,0,0,0,0,0,0,0.769230769230769,4369247.60387209,-2229267.9576124,24394761.5290148,461192.494008097,24855954.0230229,-6598515.56148449,4.94736842105263
2,36,3,17169283,3.15,0,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,29000,1,0,203758.620689655,0,0,0,0,0,496551.724137931,124633.620689655,20933.666061706,145567.286751361,281528.735632184,358068.965517241,0,358068.965517241,2440838.62068966,0,0,2440838.62068966,18296689.3672111,73347.276569873,38950.2471724138,112297.523742287,20.6896551724138,1917.95172413793,1938.64137931034,217241.379310345,24809530.3448276,25026771.7241379,0,131.379310344828,123.448275862069,7.93103448275862,0,0,0,6.89655172413793,0,138.275862068966,0,1.37931034482759,0,0,0,0,0,0,0,3.44827586206897,63.7931034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.9655172413793,0,0,0,0,0,0,0.689655172413793,2911205.10994918,6730082.3569268,20737527.9879008,470366.489259528,21207894.4771603,3818877.24697761,4.94736842105263
2,36,3,17169283,3.5,0,0,3.5,0,0,0,0,0,0,3.5,0,0,3.5,0,35000,2,0,678114.285714286,111428.571428571,0,21342.8571428571,0,0,0,142057.142857143,50670.6766917293,192727.819548872,377892.857142857,0,154000,154000,6590404.85714286,2540175.42857143,0,9130580.28571429,21244964.8195489,98881.482318797,123274.1784,222155.660718797,0,9932.76,9932.76,0,102178704,102178704,0,410.285714285714,229.142857142857,181.142857142857,200.285714285714,44.5714285714286,155.714285714286,12.2857142857143,0,622.857142857143,0,1.42857142857143,0,0,0,0,0,0,0,12.8571428571429,391.714285714286,0,3.42857142857143,0,0,0,0,0,0,0,5.42857142857143,0,5.42857142857143,0,0,2.28571428571429,0,0,0,27.1428571428571,0,6.85714285714286,164.857142857143,0,0,0,0,0,0,1.42857142857143,6812560.51786165,80933739.1804511,27681369.6766917,376155.660718797,28057525.3374105,74121178.6625895,4.94736842105263
2,37,2,17169283,0.28,0,0.28,0,0,0.28,0,0.28,0,0,0,0,0,0,0,10000,2,0,111300,0,0,0,0,0,0,44820,34369.4210526316,79189.4210526316,653125,1150000,0,1150000,8619917,0,0,8619917,18012897.4210526,125044.790193684,108267.0908,233311.880993684,2815,0,2815,28722800,0,28722800,0,511,280,231,0,0,0,20,0,531,0,0,0,0,0,0,0,0,0,51,442,0,10,0,0,0,0,0,0,0,20,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003228.8809937,10709902.5789474,26632814.4210526,1383311.88099368,28016126.3020463,706673.697953686,12.4444444444444
2,99,1,17169283,0.4,0,0,0.4,0,0,0,0,0,0,0.4,0,0,0.4,0,6000,2,0,294000,0,0,0,550000,0,0,322472.222222222,40560,363032.222222222,1258611.11111111,0,110000,110000,5184408.33333333,0,0,5184408.33333333,19744926.3333333,151986.2296,74752.2633333333,226738.492933333,741.666666666667,3986.5,4728.16666666667,7620333.33333333,40263650,47883983.3333333,0,338.333333333333,188.333333333333,150,0,0,0,0,0,338.333333333333,0,16.6666666666667,0,0,0,0,0,0,0,0,321.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5411146.82626667,28139057,24819334.6666667,336738.492933333,25156073.1596,22727910.1737333,19.375
2,99,2,17169283,0.66,0,0,0.66,0,0,0,0,0,0,0.66,0,0,0.66,0,15000,1,0,173600,0,0,0,0,0,0,204347.222222222,17680,222027.222222222,429972.222222222,0,798600,798600,2557002.66666667,0,0,2557002.66666667,18793482.4444444,68822.4248888889,33859.4730666667,102681.897955556,232,842.52,1074.52,2448000,8424724,10872724,0,164,89.3333333333333,74.6666666666667,0,0,0,3.33333333333333,0,167.333333333333,0,4,0,0,0,0,0,0,0,0,156.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,2659684.56462222,-7920758.44444445,20551885.1111111,901281.897955556,21453167.0090667,-10580443.0090667,19.375
3,34,1,17169283,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0,5000,2,0,244000,0,0,0,0,0,0,250983.333333333,33952,284935.333333333,636800,0,770000,770000,4129748,0,0,4129748,19105018.3333333,118536.80552,54234.4752,172771.28072,544,0,544,6216000,0,6216000,0,222,114,108,0,0,0,32,0,254,0,0,0,0,0,0,0,0,0,10,212,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4302519.28072,-12889018.3333333,22464766.3333333,942771.28072,23407537.6140533,-17191537.6140533,19.3636363636364
