STN,연도,평균기온,최저기온평균,최고기온평균,연강수량,연일조시간,관측일수,평균습도,연일사량,연증발량,연안개시간,지중온도_05m,생육기평균기온,생육기강수량,서리일수,초상서리일수,개화기저온일수,폭염일수,호우일수
127.0,2023,13.008241758241759,7.582920110192838,19.021095890410958,1661.6000000000001,2217.7,365,69.26493150684932,5244.54,1323.4,0.0,,20.28411214953271,1471.5,112,141,5,22,4
127.0,2024,13.806010928961749,8.80109589041096,19.55109289617486,1448.0,2171.6,366,70.83633879781421,5218.95,1333.7,0.0,,21.475233644859813,1222.6,104,123,0,34,3
129.0,2019,12.662880886426594,7.537292817679558,18.377260273972603,915.0,2491.2,365,72.17839335180055,5395.21,1335.2,0.0,,19.50616113744076,678.0,112,149,9,9,0
129.0,2020,12.627868852459017,8.064657534246574,18.03743169398907,1488.7,2385.3,366,72.59754098360656,5186.59,1280.5,0.0,,18.870093457943923,1265.7,97,155,11,5,4
129.0,2021,13.209315068493149,8.406849315068493,18.82712328767123,1207.3,2418.5,365,73.46164383561644,5201.83,1314.3,0.0,,19.989719626168224,915.1,87,131,1,19,1
129.0,2022,12.36109589041096,7.573972602739726,17.628493150684932,1570.7,2318.2,365,73.14903581267217,5433.4,1313.9,0.0,,19.626168224299064,1380.5,114,133,6,6,6
129.0,2023,13.390958904109588,8.69068493150685,18.54904109589041,1529.7,2220.9,365,73.32191780821918,5258.4,1315.7,0.0,12.561797752808989,20.41635514018692,1263.3,102,127,4,16,3
129.0,2024,14.121311475409835,9.640710382513662,19.18032786885246,1806.1,2228.4,366,75.31010928961749,5309.73,1312.3,0.0,15.915342465753426,21.32336448598131,1581.0,95,120,1,24,5
130.0,2019,13.942582417582418,9.665753424657535,18.73068493150685,1581.2,2529.2,365,66.36071428571428,0.0,0.0,0.0,,19.4150234741784,1388.0,69,109,4,8,3
130.0,2020,13.336164383561643,9.137978142076502,18.073224043715847,1336.2,2462.3,366,67.04752747252748,0.0,0.0,0.0,,18.569014084507042,1109.9,57,112,4,6,2
130.0,2021,13.5,9.187671232876712,18.15945205479452,1158.9,2387.1,365,69.22849315068494,0.0,0.0,0.0,,19.076168224299067,1018.3,65,86,1,0,2
130.0,2022,13.343406593406593,9.094246575342465,18.111780821917808,1100.0,2505.0,365,64.51868131868132,0.0,0.0,0.0,,19.507511737089203,799.4,79,105,0,9,2
130.0,2023,14.145205479452056,9.912876712328767,18.6786301369863,1317.0,2560.4,365,66.05534246575343,0.0,0.0,0.0,,19.897196261682243,1013.1,71,99,0,4,3
130.0,2024,14.472131147540985,10.494535519125684,18.88551912568306,1017.3,2407.2,366,69.89508196721312,0.0,0.0,0.0,,20.69859813084112,770.5,65,98,0,13,0
